cfl_game_id,sked_id,week_name,week_short,week_id,game_num,game_date,date_tbd,time_tbd,game_status,away_team,away_initial,away_score1,away_score2,away_score3,away_score4,away_scoreOT,away_id,home_team,home_initial,home_score1,home_score2,home_score3,home_score4,home_scoreOT,home_id,attendance,sold_out,is_visible,culture
165,86,Week 19,19,23,83,05-10-27 19:30,0,0,Final,Hamilton,ham,0,2,0,9,0,6,Toronto,tor,3,17,7,7,0,7,40085,0,1,en
167,87,Week 19,19,23,84,05-10-28 21:00,0,0,Final,BC,bc,3,6,0,10,0,1,Edmonton,edm,3,10,6,3,0,3,37544,0,1,en
169,88,Week 19,19,23,85,05-10-29 15:00,0,0,Final,Montreal,mtl,14,8,7,14,0,9,Ottawa,ott,14,6,3,0,0,8,20833,0,1,en
171,89,Week 19,19,23,86,05-10-30 16:00,0,0,Final,Calgary,cgy,7,17,15,7,0,2,Winnipeg,wpg,7,10,0,7,0,5,23455,0,1,en
173,90,Week 20,20,24,87,05-11-04 19:30,0,0,Final,Montreal,mtl,0,6,0,3,0,9,Hamilton,ham,5,0,0,10,0,6,27114,0,1,en
175,91,Week 20,20,24,88,05-11-05 15:00,0,0,Final,Toronto,tor,4,3,7,3,0,7,Ottawa,ott,7,8,6,6,0,8,16504,0,1,en
177,92,Week 20,20,24,89,05-11-05 22:00,0,0,Final,Saskatchewan,ssk,3,0,0,10,0,4,BC,bc,8,3,1,0,0,1,38847,0,1,en
179,93,Week 20,20,24,90,05-11-06 17:00,0,0,Final,Edmonton,edm,8,1,0,14,0,3,Calgary,cgy,7,8,14,14,0,2,31017,0,1,en
181,188,CFL Playoffs Semi-Finals,P1,30,91,05-11-13 15:00,0,0,Final,Saskatchewan,ssk,0,0,7,7,0,4,Montreal,mtl,7,17,3,3,0,9,31199,0,1,en
183,189,CFL Playoffs Semi-Finals,P1,30,92,05-11-13 18:00,0,0,Final,Edmonton,edm,0,12,4,17,0,3,Calgary,cgy,9,14,0,3,0,2,26799,0,1,en
185,190,CFL Playoffs Finals,P2,31,93,05-11-20 15:00,0,0,Final,Montreal,mtl,0,6,14,13,0,9,Toronto,tor,14,0,3,0,0,7,44211,0,1,en
187,191,CFL Playoffs Finals,P2,31,94,05-11-20 18:00,0,0,Final,Edmonton,edm,14,7,0,7,0,3,BC,bc,3,7,11,2,0,1,37337,0,1,en
189,192,Grey Cup Championship,GC,32,95,05-11-27 18:00,0,0,Final,Montreal,mtl,1,0,17,10,7,9,Edmonton,edm,3,7,10,8,10,3,59157,0,1,en
191,179,Pre-Season A,A,1,1,06-06-02 19:00,0,0,Final,Hamilton,ham,14,4,3,10,0,6,Toronto,tor,0,0,3,0,0,7,21469,0,1,en
193,181,Pre-Season A,A,1,2,06-06-02 20:00,0,0,Final,Montreal,mtl,7,7,3,8,0,9,Winnipeg,wpg,7,14,0,3,0,5,27573,0,1,en
195,180,Pre-Season A,A,1,3,06-06-02 22:30,0,0,Final,Calgary,cgy,3,6,7,10,0,2,BC,bc,3,10,10,0,0,1,23154,0,1,en
197,182,Pre-Season A,A,1,4,06-06-03 16:00,0,0,Final,Edmonton,edm,2,6,0,0,0,3,Saskatchewan,ssk,0,3,11,0,0,4,25114,0,1,en
199,183,Pre-Season B,B,2,5,06-06-08 19:00,0,0,Final,Winnipeg,wpg,3,10,2,0,0,5,Montreal,mtl,7,14,0,9,0,9,20202,0,1,en
201,184,Pre-Season B,B,2,6,06-06-08 21:00,0,0,Final,BC,bc,7,28,7,15,0,1,Calgary,cgy,7,6,0,0,0,2,7335,0,1,en
203,185,Pre-Season B,B,2,7,06-06-09 19:00,0,0,Final,Toronto,tor,0,4,0,7,0,7,Hamilton,ham,10,1,3,7,0,6,25398,0,1,en
205,187,Pre-Season B,B,2,8,06-06-09 21:00,0,0,Final,Saskatchewan,ssk,3,14,3,2,0,4,Edmonton,edm,3,3,1,0,0,3,27840,0,1,en
207,95,Week 1,1,5,9,06-06-16 19:30,0,0,Final,Winnipeg,wpg,7,3,7,0,0,5,Montreal,mtl,0,7,0,20,0,9,20202,0,1,en
209,96,Week 1,1,5,10,06-06-16 22:30,0,0,Final,Saskatchewan,ssk,0,10,3,15,0,4,BC,bc,14,17,7,7,0,1,27539,0,1,en
211,97,Week 1,1,5,11,06-06-17 15:00,0,0,Final,Hamilton,ham,7,6,3,1,0,6,Toronto,tor,8,10,6,3,0,7,27689,0,1,en
213,98,Week 1,1,5,12,06-06-17 20:00,0,0,Final,Edmonton,edm,0,6,1,7,0,3,Calgary,cgy,7,0,3,14,0,2,25895,0,1,en
215,99,Week 2,2,6,13,06-06-23 20:00,0,0,Final,Toronto,tor,3,3,0,3,0,7,Winnipeg,wpg,7,6,0,3,0,5,26524,0,1,en
217,100,Week 2,2,6,14,06-06-24 19:00,0,0,Final,Montreal,mtl,17,0,9,6,0,9,Hamilton,ham,0,14,0,0,0,6,27911,0,1,en
219,101,Week 2,2,6,15,06-06-24 22:00,0,0,Final,Calgary,cgy,3,6,0,5,0,2,Edmonton,edm,0,0,8,10,0,3,40491,0,1,en
221,102,Week 2,2,6,16,06-06-25 19:00,0,0,Final,BC,bc,7,4,4,9,0,1,Saskatchewan,ssk,8,0,3,21,0,4,21082,0,1,en
223,103,Week 3,3,7,17,06-06-29 21:00,0,0,Final,Hamilton,ham,7,8,3,4,0,6,Calgary,cgy,10,7,3,3,0,2,28396,0,1,en
225,104,Week 3,3,7,18,06-06-30 22:30,0,0,Final,Toronto,tor,0,0,10,9,0,7,BC,bc,17,6,3,0,0,1,30514,0,1,en
227,105,Week 3,3,7,19,06-07-01 19:00,0,0,Final,Edmonton,edm,7,3,0,0,0,3,Winnipeg,wpg,5,24,0,17,0,5,23521,0,1,en
229,107,Week 4,4,8,20,06-07-06 19:30,0,0,Final,Hamilton,ham,9,9,0,3,0,6,Montreal,mtl,7,3,10,7,0,9,20202,0,1,en
231,108,Week 4,4,8,21,06-07-07 21:00,0,0,Final,BC,bc,10,1,3,6,0,1,Edmonton,edm,7,10,7,3,0,3,35035,0,1,en
233,109,Week 4,4,8,22,06-07-08 16:00,0,0,Final,Winnipeg,wpg,3,10,0,11,0,5,Toronto,tor,7,0,7,3,0,7,26304,0,1,en
235,110,Week 4,4,8,23,06-07-08 19:00,0,0,Final,Calgary,cgy,17,3,16,17,0,2,Saskatchewan,ssk,3,17,0,16,0,4,23942,0,1,en
